rank,title,count,crowdfunded,matched,total,category
1,Coin Center is educating policy makers about public blockchains,5,772190.7043,364847.5256,1137038.23,Community
2,Dark Forest,4,263220.4545,74601.24294,337821.6975,dApp Tech
3,Rotki - The portfolio tracker and accounting tool that protects your privacy,9,113962.8579,209420.2836,323383.1415,dApp Tech
4,POAP  (Proof of Attendance Protocol),8,162115.2382,141694.466,303809.7042,NFTs
5,The Tor Project,3,108474.7189,194095.0618,302569.7807,Infra Tech
6,Electronic Frontier Foundation,1,58715.04317,228273.8388,286988.8819,Community
7,Hardhat by Nomic Labs,5,221022.4985,52450.39152,273472.89,dApp Tech
8,ZigZag Exchange,1,166070.2346,75113.96972,241184.2043,Grants Round 12
9,Prysm by Prysmatic Labs,12,139382.3999,88179.02751,227561.4274,Infra Tech
10,Gitcoin Grants Core Team - Dev Fund,7,168420.3637,26047.90312,194468.2668,Building Gitcoin